"","name","friendlyName"
"1","_system_softirqs_softirqs_persec_average","System softirqs (system.softirqs)"
"2","_system_load_load_average","System Load Average (system.load)"
"3","_system_ipv4_kilobits_persec_average","IPv4 Bandwidth (system.ipv4)"
"4","_system_interrupts_interrupts_persec_average","System interrupts (system.interrupts)"
"5","_system_io_kilobytes_persec_average","Disk I/O (system.io)"
"6","_system_cpu_percentage_average","Total CPU utilization (system.cpu)"
"7","_system_ram_MB_average","System RAM (system.ram)"
"8","_groups_cpu_cpu_time___average","User Groups CPU Time (400% = 4 cores) (groups.cpu)"
"9","_ipv4_sockstat_sockets_sockets_average","IPv4 Sockets Used (ipv4.sockstat_sockets)"
"10","_mem_available_MB_average" ,"Available RAM for applications (mem.available)"
"11","_net_packets_packets_persec_average","Packets (net_packets.eth0)"
