"","m_1","m_2","m_3","m_4","m_5","m_6","m_7","m_8","m_9","m_10","m_11","m_12","m_13","m_14","m_15","m_16","m_17","m_18","m_19","m_20","m_21","m_22","m_23"
"m_1",0,0,0,0,0,0,0,57.7715001118787,0,0,83.3484025831343,83.0361440491854,55.5789377530091,83.2308779285227,83.2156885729258,54.5408384103037,55.1474526446868,76.3730043769337,75.5511235931534,78.9281605563098,0,78.9281605563098,0
"m_2",0,0,77.7191992154201,54.2090672722259,61.5685452329136,0,0,0,99.4922930108523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_3",0,77.7191992154201,0,0,0,0,0,0,77.2124729627422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_4",0,54.2090672722259,0,0,0,0,0,0,54.006394270066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_5",0,61.5685452329136,47.9901606187751,37.8494668159308,0,0,0,0,59.1676270019689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_6",47.6680153821556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_7",35.7672443154931,0,0,0,0,0,0,55.3299972820386,0,0,0,0,66.5253380407617,0,0,65.9387666978799,66.4448293386551,60.9189079493511,61.4509017850064,60.3804112031335,0,60.3804112031335,63.7453947471781
"m_8",57.7715001118787,0,0,0,0,0,55.3299972820386,0,0,0,61.4839942938708,62.139491740537,72.4344729033142,61.490070831807,62.6162620203314,72.1525272929247,72.297749806669,73.7699128362868,74.0535908219499,72.5846095276366,0,72.5846095276366,68.9256483952066
"m_9",0,99.4922930108523,77.2124729627422,54.006394270066,59.1676270019689,0,0,0,0,49.4451509572652,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_10",0,49.1486804624443,42.8499444997813,0,0,0,0,0,49.4451509572652,0,0,0,0,0,0,0,0,0,0,0,56.8333661051137,0,0
"m_11",83.3484025831343,0,0,0,0,40.7168731648074,46.6801239388224,61.4839942938708,0,0,0,99.9837757208753,65.8653140042705,99.9996971313664,99.9612828492948,64.6931904896896,65.4794142180315,90.4155863253936,89.4552454972133,92.8227690718753,0,92.8227690718753,52.6892179811549
"m_12",83.0361440491854,0,0,0,0,40.2479151710695,47.526767546595,62.139491740537,0,0,99.9837757208753,0,67.1303006352266,99.9858568615546,99.9937351284222,65.9837567329669,66.7507709778322,91.092694571528,90.1685772530503,93.4097551596096,0,93.4097551596096,54.1292924870654
"m_13",55.5789377530091,0,0,0,0,0,66.5253380407617,72.4344729033142,0,0,65.8653140042705,67.1303006352266,0,65.9114982252229,67.9141636270278,99.7311628345674,99.9724910572846,89.7944295874528,90.7178638267715,88.6306316575813,76.6526606114387,88.6306316575813,97.5490095561921
"m_14",83.2308779285227,0,0,0,0,40.6494293744781,46.7397389895974,61.490070831807,0,0,99.9996971313664,99.9858568615546,65.9114982252229,0,99.9633365550454,64.7407686217855,65.5261246269337,90.434388151635,89.4756893058553,92.8360140352227,0,92.8360140352227,52.7446192895254
"m_15",83.2156885729258,0,0,0,0,40.1222555221541,47.9955643174694,62.6162620203314,0,0,99.9612828492948,99.9937351284222,67.9141636270278,99.9633365550454,0,66.7803790555422,67.5374486558403,91.5098708269833,90.6078950631874,93.7836658369818,0,93.7836658369818,55.0121816748649
"m_16",54.5408384103037,0,0,0,0,0,65.9387666978799,72.1525272929247,0,0,64.6931904896896,65.9837567329669,99.7311628345674,64.7407686217855,66.7803790555422,0,99.7218883445079,89.821262481381,90.7845762601291,87.8121095538922,79.1263501579669,87.8121095538922,98.5101213462257
"m_17",55.1474526446868,0,0,0,0,0,66.4448293386551,72.297749806669,0,0,65.4794142180315,66.7507709778322,99.9724910572846,65.5261246269337,67.5374486558403,99.7218883445079,0,89.5054921722016,90.4389049040136,88.4212834580365,76.7421152725968,88.4212834580365,97.5542086057317
"m_18",76.3730043769337,0,0,0,0,0,60.9189079493511,73.7699128362868,0,0,90.4155863253936,91.092694571528,89.7944295874528,90.434388151635,91.5098708269833,89.821262481381,89.5054921722016,0,99.9734771380825,98.8027563277278,49.952945360341,98.8027563277278,83.1873227882105
"m_19",75.5511235931534,0,0,0,0,0,61.4509017850064,74.0535908219499,0,0,89.4552454972133,90.1685772530503,90.7178638267715,89.4756893058553,90.6078950631874,90.7845762601291,90.4389049040136,99.9734771380825,0,98.6524777357593,51.882085880368,98.6524777357593,84.4421030321597
"m_20",78.9281605563098,0,0,0,0,0,60.3804112031335,72.5846095276366,0,0,92.8227690718753,93.4097551596096,88.6306316575813,92.8360140352227,93.7836658369818,87.8121095538922,88.4212834580365,98.8027563277278,98.6524777357593,0,0,0,79.2844529842811
"m_21",0,0,0,0,0,0,48.3427845459685,47.7933463474631,0,56.8333661051137,0,0,76.6526606114387,0,0,79.1263501579669,76.7421152725968,49.952945360341,51.882085880368,42.0737845452431,0,0,88.3057218806945
"m_22",78.9281605563098,0,0,0,0,0,60.3804112031335,72.5846095276366,0,0,92.8227690718753,93.4097551596096,88.6306316575813,92.8360140352227,93.7836658369818,87.8121095538922,88.4212834580365,98.8027563277278,98.6524777357593,0,42.0737845452431,0,79.2844529842811
"m_23",44.192378324657,0,0,0,0,0,63.7453947471781,68.9256483952066,0,40.2723752929676,52.6892179811549,54.1292924870654,97.5490095561921,52.7446192895254,55.0121816748649,98.5101213462257,97.5542086057317,83.1873227882105,84.4421030321597,79.2844529842811,88.3057218806945,79.2844529842811,0
