"","metric_number","friendlyName_with_dimensions","name","friendlyName"
"1","m_1","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average"
"2","m_2","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average"
"3","m_3","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average"
"4","m_4","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average"
"5","m_5","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load1',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load1',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average"
"6","m_6","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load15',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load15',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average"
"7","m_7","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load5',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load5',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average"
"8","m_8","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='received',family='network',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='received',family='network',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average"
"9","m_9","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='sent',family='network',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='sent',family='network',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average"
"10","m_10","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.docker0',dimension='received',family='docker0',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.docker0',dimension='received',family='docker0',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average"
