"","metric_number","friendlyName_with_dimensions"
"1","m_1","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"2","m_2","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"3","m_3","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"4","m_4","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"5","m_5","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load1',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"6","m_6","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load15',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"7","m_7","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_load_load_average{chart='system.load',dimension='load5',family='load',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"8","m_8","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='received',family='network',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"9","m_9","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='sent',family='network',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"10","m_10","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.docker0',dimension='received',family='docker0',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"11","m_11","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.docker0',dimension='sent',family='docker0',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"12","m_12","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='received',family='ens3',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"13","m_13","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='sent',family='ens3',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"14","m_14","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='received',family='tun0',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"15","m_15","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='sent',family='tun0',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"16","m_16","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='LOC',family='interrupts',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"17","m_17","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='MCP',family='interrupts',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"18","m_18","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ens3_11',family='interrupts',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"19","m_19","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='virtio0-req.0_25',family='interrupts',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"20","m_20","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_io_kilobytes_persec_average{chart='system.io',dimension='out',family='disk',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"21","m_21","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_cpu_percentage_average{chart='system.cpu',dimension='idle',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"22","m_22","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_cpu_percentage_average{chart='system.cpu',dimension='iowait',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"23","m_23","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_cpu_percentage_average{chart='system.cpu',dimension='nice',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"24","m_24","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_cpu_percentage_average{chart='system.cpu',dimension='softirq',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"25","m_25","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_cpu_percentage_average{chart='system.cpu',dimension='steal',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"26","m_26","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_cpu_percentage_average{chart='system.cpu',dimension='system',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"27","m_27","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_cpu_percentage_average{chart='system.cpu',dimension='user',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"28","m_28","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ram_MB_average{chart='system.ram',dimension='buffers',family='ram',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"29","m_29","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ram_MB_average{chart='system.ram',dimension='cached',family='ram',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"30","m_30","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ram_MB_average{chart='system.ram',dimension='free',family='ram',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"31","m_31","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_system_ram_MB_average{chart='system.ram',dimension='used',family='ram',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"32","m_32","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_mem_available_MB_average{chart='mem.available',dimension='avail',family='system',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"33","m_33","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_groups_cpu_cpu_time___average{chart='groups.cpu',dimension='docker',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"34","m_34","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_groups_cpu_cpu_time___average{chart='groups.cpu',dimension='netdata',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"35","m_35","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_groups_cpu_cpu_time___average{chart='groups.cpu',dimension='nogroup',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"36","m_36","netdata:FJBxy1EZ0H:aMPWuy3r7X:xBAQsS841m_groups_cpu_cpu_time___average{chart='groups.cpu',dimension='root',family='cpu',instance='[fceb:1d4:a0c0:4023:37a8:39a0:8277:e8a0]:19999',job='netdata'}"
"37","m_37","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"38","m_38","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"39","m_39","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"40","m_40","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"41","m_41","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_load_load_average{chart='system.load',dimension='load1',family='load',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"42","m_42","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_load_load_average{chart='system.load',dimension='load15',family='load',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"43","m_43","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_load_load_average{chart='system.load',dimension='load5',family='load',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"44","m_44","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='received',family='network',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"45","m_45","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_ipv4_kilobits_persec_average{chart='system.ipv4',dimension='sent',family='network',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"46","m_46","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_net_packets_packets_persec_average{chart='net_packets.docker0',dimension='sent',family='docker0',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"47","m_47","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='received',family='ens3',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"48","m_48","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='sent',family='ens3',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"49","m_49","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='received',family='tun0',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"50","m_50","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='sent',family='tun0',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"51","m_51","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='LOC',family='interrupts',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"52","m_52","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='MCP',family='interrupts',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"53","m_53","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ens3_11',family='interrupts',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
"54","m_54","netdata:FJBxy1EZ0H:aMPWuy3r7X:LkE6HmCt6T_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='virtio0-req.0_25',family='interrupts',instance='[fcab:62ec:3b7:fa0e:b159:35cc:8a00:325d]:19999',job='netdata'}"
