"","name","friendlyName","dimensions","friendlyName_with_dimensions"
"1","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='BLOCK',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='BLOCK',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='BLOCK',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"2","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='HI',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='HI',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='HI',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"3","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='HRTIMER',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='HRTIMER',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='HRTIMER',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"4","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='IRQ_POLL',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='IRQ_POLL',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='IRQ_POLL',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"5","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='NET_RX',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"6","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='NET_TX',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"7","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='RCU',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"8","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='SCHED',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='SCHED',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='SCHED',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"9","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='TASKLET',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='TASKLET',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='TASKLET',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
"10","netdata:XSMFRj26ES:EDv743y5Y9:6xAYVCZQMh_system_softirqs_softirqs_persec_average{chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs)","{chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}","System softirqs (system.softirqs){chart='system.softirqs',dimension='TIMER',family='softirqs',instance='[fc31:f55e:5ea0:f534:20e5:38c:3edc:e41]:19999',job='netdata'}"
