"","timestamp","netdata:7R1uvgJkiZ:LSV6CW7FrZ:d26qWBB8b0_users_cpu_system_cpu_time___average{chart='users.cpu_system',dimension='netdata',family='cpu',instance='[fcef:ef08:3ddd:601a:3805:acf7:df34:ea8f]:19999',job='netdata'}{chart='users.cpu_system',dimension='netdata',family='cpu',instance='[fcef:ef08:3ddd:601a:3805:acf7:df34:ea8f]:19999',job='netdata'}"
"1","1551348630.781","0.49689"
"2","1551348690.781","0.44784"
"3","1551348750.781","0.60175"
"4","1551348810.781","0.31209"
"5","1551348870.781","0.29224"
"6","1551348930.781","0.30474"
"7","1551348990.781","0.38807"
"8","1551349050.781","0.40443"
"9","1551349110.781","0.58555"
"10","1551349170.781","0.47165"
"11","1551349230.781","0.42502"
"12","1551349290.781","0.63918"
"13","1551349350.781","0.25055"
"14","1551349410.781","0.57497"
"15","1551349470.781","0.54605"
"16","1551349530.781","0.63187"
"17","1551349590.781","0.43436"
"18","1551349650.781","0.6679"
"19","1551349710.781","0.53073"
"20","1551349770.781","0.63383"
"21","1551349830.781","0.439"
"22","1551349890.781","0.68748"
"23","1551349950.781","0.80081"
"24","1551350010.781","0.35194"
"25","1551350070.781","0.43651"
"26","1551350130.781","0.23274"
"27","1551350190.781","0.43295"
"28","1551350250.781","0.2556"
"29","1551350310.781","0.37923"
"30","1551350370.781","0.23165"
"31","1551350430.781","0.33976"
"32","1551350490.781","0.43221"
"33","1551350550.781","0.98738"
"34","1551350610.781","0.66211"
"35","1551350670.781","0.60157"
"36","1551350730.781","0.55009"
"37","1551350790.781","0.55567"
"38","1551350850.781","0.53837"
"39","1551350910.781","0.51557"
"40","1551350970.781","0.53134"
"41","1551351030.781","0.73634"
"42","1551351090.781","0.68799"
"43","1551351150.781","0.45886"
"44","1551351210.781","0.60545"
"45","1551351270.781","0.36644"
"46","1551351330.781","0.73462"
"47","1551351390.781","0.5255"
"48","1551351450.781","0.55209"
"49","1551351510.781","0.49306"
"50","1551351570.781","0.51674"
"51","1551351630.781","0.47663"
"52","1551351690.781","0.6667"
"53","1551351750.781","0.54079"
"54","1551351810.781","0.49578"
"55","1551351870.781","0.71484"
"56","1551351930.781","0.31605"
"57","1551351990.781","0.68158"
"58","1551352050.781","0.64334"
"59","1551352110.781","0.74069"
"60","1551352170.781","0.61186"
"61","1551352230.781","0.63211"
"62","1551352290.781","0.83219"
"63","1551352350.781","0.494"
"64","1551352410.781","0.85896"
"65","1551352470.781","0.85006"
"66","1551352530.781","0.71503"
"67","1551352590.781","0.53374"
"68","1551352650.781","0.54281"
"69","1551352710.781","0.56734"
"70","1551352770.781","0.51541"
"71","1551352830.781","0.50995"
"72","1551352890.781","0.58516"
"73","1551352950.781","0.63475"
"74","1551353010.781","0.57724"
"75","1551353070.781","0.50355"
"76","1551353130.781","0.47759"
"77","1551353190.781","0.39264"
"78","1551353250.781","0.52917"
"79","1551353310.781","0.42454"
"80","1551353370.781","0.67569"
"81","1551353430.781","0.55685"
"82","1551353490.781","0.50639"
"83","1551353550.781","0.40373"
"84","1551353610.781","0.65088"
"85","1551353670.781","0.48754"
"86","1551353730.781","0.65332"
"87","1551353790.781","0.6077"
"88","1551353850.781","0.50917"
"89","1551353910.781","0.66999"
"90","1551353970.781","0.54776"
"91","1551354030.781","0.43049"
"92","1551354090.781","0.68148"
"93","1551354150.781","0.49656"
"94","1551354210.781","0.50442"
"95","1551354270.781","0.62833"
"96","1551354330.781","0.29656"
"97","1551354390.781","0.47457"
"98","1551354450.781","0.41668"
"99","1551354510.781","0.18838"
"100","1551354570.781","0.33491"
"101","1551354630.781","0.31963"
"102","1551354690.781","0.37371"
"103","1551354750.781","0.29889"
"104","1551354810.781","0.28057"
"105","1551354870.781","0.29292"
"106","1551354930.781","0.35118"
"107","1551354990.781","0.39189"
"108","1551355050.781","0.34752"
"109","1551355110.781","0.43445"
"110","1551355170.781","0.35031"
"111","1551355230.781","0.52518"
"112","1551355290.781","0.38009"
"113","1551355350.781","0.35411"
"114","1551355410.781","0.33792"
"115","1551355470.781","0.4829"
"116","1551355530.781","0.57197"
"117","1551355590.781","0.19963"
"118","1551355650.781","0.37765"
"119","1551355710.781","0.12304"
"120","1551355770.781","0.35426"
"121","1551355830.781","0.35487"
"122","1551355890.781","0.3997"
"123","1551355950.781","0.20161"
"124","1551356010.781","0.33062"
"125","1551356070.781","0.31699"
"126","1551356130.781","0.26029"
"127","1551356190.781","0.27116"
"128","1551356250.781","0.25557"
"129","1551356310.781","0.31675"
"130","1551356370.781","0.34117"
"131","1551356430.781","0.50073"
"132","1551356490.781","0.4432"
"133","1551356550.781","0.25965"
"134","1551356610.781","0.27371"
"135","1551356670.781","0.29947"
"136","1551356730.781","0.38028"
"137","1551356790.781","0.32897"
"138","1551356850.781","0.46389"
"139","1551356910.781","0.37267"
"140","1551356970.781","0.20845"
"141","1551357030.781","0.43328"
"142","1551357090.781","0.44158"
"143","1551357150.781","0.36478"
"144","1551357210.781","0.38144"
"145","1551357270.781","0.19172"
"146","1551357330.781","0.23119"
"147","1551357390.781","0.2464"
"148","1551357450.781","0.46567"
"149","1551357510.781","0.33739"
"150","1551357570.781","0.47024"
"151","1551357630.781","0.36467"
"152","1551357690.781","0.2302"
"153","1551357750.781","0.27031"
"154","1551357810.781","0.25677"
"155","1551357870.781","0.39982"
"156","1551357930.781","0.36006"
"157","1551357990.781","0.40645"
"158","1551358050.781","0.3249"
"159","1551358110.781","0.6596"
"160","1551358170.781","0.42608"
"161","1551358230.781","0.31667"
"162","1551358290.781","0.3332"
"163","1551358350.781","0.37478"
"164","1551358410.781","0.35336"
"165","1551358470.781","0.31774"
"166","1551358530.781","0.42802"
"167","1551358590.781","0.48983"
"168","1551358650.781","0.35972"
"169","1551358710.781","0.5279"
"170","1551358770.781","0.32648"
"171","1551358830.781","0.48818"
"172","1551358890.781","0.27505"
"173","1551358950.781","0.56751"
"174","1551359010.781","0.21502"
"175","1551359070.781","0.35531"
"176","1551359130.781","0.39549"
"177","1551359190.781","0.42422"
"178","1551359250.781","0.12134"
"179","1551359310.781","0.39012"
"180","1551359370.781","0.28252"
"181","1551359430.781","0.29492"
"182","1551359490.781","0.49956"
"183","1551359550.781","0.49374"
"184","1551359610.781","0.34126"
"185","1551359670.781","0.29299"
"186","1551359730.781","0.261"
"187","1551359790.781","0.41318"
"188","1551359850.781","0.26654"
"189","1551359910.781","0.28812"
"190","1551359970.781","0.39896"
"191","1551360030.781","0.32045"
"192","1551360090.781","0.38333"
"193","1551360150.781","0.52438"
"194","1551360210.781","0.47891"
"195","1551360270.781","0.34341"
"196","1551360330.781","0.49746"
"197","1551360390.781","0.21811"
"198","1551360450.781","0.20347"
"199","1551360510.781","0.34155"
"200","1551360570.781","0.45631"
"201","1551360630.781","0.2096"
"202","1551360690.781","0.28702"
